pair,publication_date,signal,single_leg,fwd_ret_1w,fwd_ret_2w,fwd_ret_4w,fwd_ret_8w
EUR/AUD,2012-10-05,0.717449022294675,False,-0.009400010108947754,-0.010500073432922363,-0.027199983596801758,-0.02670001983642578
EUR/AUD,2012-10-12,0.08339703518418118,False,-0.0011000633239746094,-0.01100003719329834,-0.035809993743896484,-0.02369999885559082
EUR/AUD,2012-10-19,-0.24357165196495778,False,-0.00989997386932373,-0.016699910163879395,-0.02369999885559082,-0.01809990406036377
EUR/AUD,2012-10-26,0.05873976295716935,False,-0.006799936294555664,-0.024809956550598145,-0.009499907493591309,0.012899994850158691
EUR/AUD,2012-11-02,0.3473529074734589,False,-0.01801002025604248,-0.007000088691711426,0.0004999637603759766,0.03447997570037842
EUR/AUD,2012-11-09,0.7875140678010063,False,0.011009931564331055,0.015310049057006836,0.012109994888305664,0.02101004123687744
EUR/AUD,2012-11-16,1.3167899089938402,False,0.004300117492675781,0.007500052452087402,0.005600094795227051,0.018450021743774414
EUR/AUD,2012-11-23,1.2780764514541547,False,0.003199934959411621,-0.003200054168701172,0.02239990234375,0.027759909629821777
EUR/AUD,2012-11-30,1.376788292360069,False,-0.006399989128112793,-0.0018999576568603516,0.03398001194000244,0.03624999523162842
EUR/AUD,2012-12-07,1.4570964522158374,False,0.004500031471252441,0.025599956512451172,0.008900046348571777,0.06739997863769531
EUR/AUD,2012-12-14,1.8227875528707158,False,0.02109992504119873,0.03587996959686279,0.012849926948547363,0.06049990653991699
EUR/AUD,2012-12-21,1.247979080550714,False,0.014780044555664062,-0.016699910163879395,0.005360007286071777,0.027320027351379395
EUR/AUD,2012-12-27,0.3043651768782403,False,-0.01984989643096924,-0.03346991539001465,-0.01335000991821289,0.01894998550415039
EUR/AUD,2013-01-03,0.33977355220699046,False,-0.01362001895904541,0.0026099681854248047,0.045799970626831055,0.029709935188293457
EUR/AUD,2013-01-11,0.5507257600321629,False,0.013610005378723145,0.025300025939941406,0.04764997959136963,0.02155005931854248
EUR/AUD,2013-01-18,0.6442887059851614,False,0.011690020561218262,0.03644001483917236,0.021960020065307617,-0.014539957046508789
EUR/AUD,2013-01-25,0.7159380594900899,False,0.0247499942779541,0.022349953651428223,0.0017199516296386719,-0.04394996166229248
EUR/AUD,2013-02-01,0.19203273200754922,False,-0.002400040626525879,-0.014479994773864746,-0.02629995346069336,-0.07449996471405029
EUR/AUD,2013-02-08,-0.11645821177494153,False,-0.012079954147338867,-0.02063000202178955,-0.02609992027282715,-0.06209993362426758
EUR/AUD,2013-02-15,-0.8931332049182564,False,-0.008550047874450684,-0.011819958686828613,-0.036499977111816406,-0.04682004451751709
EUR/AUD,2013-02-22,-1.181799741717403,False,-0.0032699108123779297,-0.005469918251037598,-0.04566991329193115,-0.013869881629943848
EUR/AUD,2013-03-01,-1.4341437158105632,False,-0.002200007438659668,-0.024680018424987793,-0.048200011253356934,-0.014700055122375488
EUR/AUD,2013-03-08,-1.8458193755436882,False,-0.022480010986328125,-0.040199995040893555,-0.03600001335144043,-0.002200007438659668
EUR/AUD,2013-03-15,-1.2681320915484149,False,-0.01771998405456543,-0.02351999282836914,-0.010320067405700684,0.03987002372741699
EUR/AUD,2013-03-22,0.13468648415214304,False,-0.005800008773803711,0.004199981689453125,0.031800031661987305,0.07490003108978271
EUR/AUD,2013-03-29,1.3272756650309112,False,0.009999990463256836,0.013199925422668457,0.033499956130981445,0.10430002212524414
EUR/AUD,2013-04-05,1.500621968871185,False,0.003199934959411621,0.02760004997253418,0.03380000591278076,0.10850000381469727
EUR/AUD,2013-04-12,1.073627610662384,False,0.02440011501312256,0.02030003070831299,0.050190091133117676,0.14163005352020264
EUR/AUD,2013-04-19,-0.10319268484653354,False,-0.00410008430480957,0.006199955940246582,0.04309999942779541,0.11889994144439697
EUR/AUD,2013-04-26,-0.8180251021654216,False,0.010300040245056152,0.029890060424804688,0.0708000659942627,0.17452001571655273
EUR/AUD,2013-05-03,-0.9001083295288791,False,0.019590020179748535,0.03690004348754883,0.0746999979019165,0.1303999423980713
EUR/AUD,2013-05-10,-1.675522241999444,False,0.017310023307800293,0.04091000556945801,0.09143996238708496,0.11840999126434326
EUR/AUD,2013-05-17,-2.153147952727646,False,0.023599982261657715,0.037799954414367676,0.07579994201660156,0.11712992191314697
EUR/AUD,2013-05-24,-2.259301825561299,False,0.014199972152709961,0.05052995681762695,0.10371994972229004,0.09370994567871094
EUR/AUD,2013-05-31,-2.45346880465981,False,0.03632998466491699,0.03799998760223389,0.055699944496154785,0.08826994895935059
EUR/AUD,2013-06-07,-3.3311127150194495,False,0.0016700029373168945,0.053189992904663086,0.0269700288772583,0.09297001361846924
EUR/AUD,2013-06-14,-3.9689034905130627,False,0.05151998996734619,0.0176999568939209,0.04132997989654541,0.08190000057220459
EUR/AUD,2013-06-21,-4.232909104199446,False,-0.03382003307342529,-0.026219964027404785,-0.010010004043579102,0.0238800048828125
EUR/AUD,2013-06-28,-4.017027845770082,False,0.007600069046020508,0.02363002300262451,0.0325700044631958,0.07609999179840088
EUR/AUD,2013-07-05,-3.675607947883471,False,0.016029953956604004,0.016209959983825684,0.06599998474121094,0.07109999656677246
EUR/AUD,2013-07-12,-3.0144636138641996,False,0.0001800060272216797,0.008939981460571289,0.04057002067565918,0.010470032691955566
EUR/AUD,2013-07-19,-3.158143264143511,False,0.00875997543334961,0.049790024757385254,0.0338900089263916,0.007290005683898926
EUR/AUD,2013-07-26,-3.018987580458645,False,0.041030049324035645,0.03163003921508789,0.04352998733520508,-0.003999948501586914
EUR/AUD,2013-08-02,-3.4152536948224173,False,-0.009400010108947754,-0.015900015830993652,0.0051000118255615234,-0.037000060081481934
EUR/AUD,2013-08-09,-3.6231793819363505,False,-0.0065000057220458984,0.011899948120117188,-0.030099987983703613,-0.0191800594329834
EUR/AUD,2013-08-16,-3.3440932454068157,False,0.018399953842163086,0.021000027656555176,-0.026600003242492676,-0.03149998188018799
EUR/AUD,2013-08-23,-3.5737711886704133,False,0.00260007381439209,-0.0419999361038208,-0.04752993583679199,-0.05929994583129883
EUR/AUD,2013-08-30,-3.724139847837657,False,-0.04460000991821289,-0.04760003089904785,-0.04210007190704346,-0.04825007915496826
EUR/AUD,2013-09-06,-3.411625235528073,False,-0.003000020980834961,-0.005529999732971191,0.010919928550720215,-0.0037000179290771484
EUR/AUD,2013-09-13,-2.955788407341058,False,-0.0025299787521362305,0.0054999589920043945,-0.0048999786376953125,-0.0176999568939209
EUR/AUD,2013-09-20,-2.469107502550812,False,0.008029937744140625,0.016449928283691406,-0.011770009994506836,0.011330008506774902
EUR/AUD,2013-09-27,-3.0779317010739558,False,0.008419990539550781,-0.010399937629699707,-0.006150007247924805,0.01900005340576172
EUR/AUD,2013-10-04,-2.9523572718371502,False,-0.01881992816925049,-0.028219938278198242,-0.014619946479797363,0.04818010330200195
EUR/AUD,2013-10-11,-2.8785612719734006,False,-0.009400010108947754,0.004249930381774902,-0.012799978256225586,0.07710003852844238
EUR/AUD,2013-10-18,-2.8655183373443283,False,0.013649940490722656,0.013599991798400879,0.02310001850128174,0.1193000078201294
EUR/AUD,2013-10-25,-2.787684484641673,False,-4.9948692321777344e-05,-0.01704990863800049,0.025150060653686523,0.10574007034301758
EUR/AUD,2013-11-01,-2.7616254995796954,False,-0.01699995994567871,0.00950002670288086,0.06280004978179932,0.10615003108978271
EUR/AUD,2013-11-08,-2.2678737247200687,False,0.02649998664855957,0.04219996929168701,0.08990001678466797,0.11650002002716064
EUR/AUD,2013-11-15,-2.252494950152518,False,0.01569998264312744,0.05330002307891846,0.09619998931884766,0.0849999189376831
EUR/AUD,2013-11-22,-2.1218519011351704,False,0.037600040435791016,0.04770004749298096,0.08059000968933105,0.08360004425048828
EUR/AUD,2013-11-29,-1.9282801088751191,False,0.010100007057189941,0.0428999662399292,0.0433499813079834,0.06516993045806885
EUR/AUD,2013-12-06,-2.261819045137951,False,0.03279995918273926,0.0328899621963501,0.026600003242492676,0.03359997272491455
EUR/AUD,2013-12-13,-2.3559375523385144,False,9.000301361083984e-05,0.0004500150680541992,-0.01120007038116455,-0.021499991416931152
EUR/AUD,2013-12-20,-2.6060849086334263,False,0.0003600120544433594,-0.006289958953857422,0.0030100345611572266,-0.01778995990753174
EUR/AUD,2013-12-27,-2.680000863786647,False,-0.006649971008300781,-0.01165008544921875,0.02181994915008545,-0.018149971961975098
EUR/AUD,2014-01-03,-2.685237018712882,False,-0.005000114440917969,0.009299993515014648,0.006999969482421875,-0.004800081253051758
EUR/AUD,2014-01-10,-2.4196096972474352,False,0.014300107955932617,0.0334700345993042,-0.010299921035766602,-0.006799936294555664
EUR/AUD,2014-01-17,-2.2251057856580223,False,0.019169926643371582,-0.0023000240325927734,-0.020799994468688965,-0.007940053939819336
EUR/AUD,2014-01-24,-2.2709822357068026,False,-0.021469950675964355,-0.0437699556350708,-0.03996992111206055,-0.03789997100830078
EUR/AUD,2014-01-31,-2.509776826874668,False,-0.022300004959106445,-0.01849997043609619,-0.011800050735473633,-0.058279991149902344
EUR/AUD,2014-02-07,-1.9109251271006789,False,0.003800034523010254,0.003800034523010254,0.0034999847412109375,-0.03251004219055176
EUR/AUD,2014-02-14,-1.829138647365255,False,0.0,0.006699919700622559,0.012859940528869629,-0.04499006271362305
EUR/AUD,2014-02-21,-1.9706051880352928,False,0.006699919700622559,-0.0003000497817993164,0.0020699501037597656,-0.04250001907348633
EUR/AUD,2014-02-28,-1.9291603710227756,False,-0.006999969482421875,0.00616002082824707,-0.04647994041442871,-0.037599921226501465
EUR/AUD,2014-03-07,-2.092113298568322,False,0.013159990310668945,0.002369999885559082,-0.036010026931762695,-0.027140021324157715
EUR/AUD,2014-03-14,-2.2524378172833295,False,-0.010789990425109863,-0.05263996124267578,-0.057850003242492676,-0.05806005001068115
EUR/AUD,2014-03-21,-2.1574718796915002,False,-0.04184997081756592,-0.03838002681732178,-0.044569969177246094,-0.05927002429962158
EUR/AUD,2014-03-28,-1.8903910361733625,False,0.0034699440002441406,-0.0052100419998168945,0.008880019187927246,-0.003140091896057129
EUR/AUD,2014-04-04,-1.498175823714521,False,-0.008679986000061035,-0.006189942359924316,0.00887000560760498,-0.02547001838684082
EUR/AUD,2014-04-11,-1.2010384990061878,False,0.0024900436401367188,0.01409006118774414,-0.00021004676818847656,-0.012910008430480957
EUR/AUD,2014-04-18,-1.1678487085734743,False,0.011600017547607422,0.015059947967529297,-0.014700055122375488,-0.04250001907348633
EUR/AUD,2014-04-25,-0.9804955054170875,False,0.003459930419921875,-0.014300107955932617,-0.012020111083984375,-0.0439000129699707
EUR/AUD,2014-05-02,-1.0994255644361306,False,-0.017760038375854492,-0.029760003089904785,-0.0343400239944458,-0.04839003086090088
EUR/AUD,2014-05-09,-1.2370501914366097,False,-0.011999964714050293,0.002279996871948242,-0.01269996166229248,-0.022099971771240234
EUR/AUD,2014-05-16,-0.5762974009365168,False,0.014279961585998535,-0.004580020904541016,-0.02779996395111084,-0.016009926795959473
EUR/AUD,2014-05-23,-0.428546305810151,False,-0.01885998249053955,-0.014979958534240723,-0.03187990188598633,-0.03377997875213623
EUR/AUD,2014-05-30,-0.39233527411508096,False,0.003880023956298828,-0.023219943046569824,-0.014050006866455078,-0.031419992446899414
EUR/AUD,2014-06-06,-0.047194720758998304,False,-0.027099967002868652,-0.016899943351745605,-0.009400010108947754,-0.025599956512451172
EUR/AUD,2014-06-13,0.4325092756791009,False,0.010200023651123047,0.009169936180114746,0.011790037155151367,0.0038999319076538086
EUR/AUD,2014-06-20,0.4721817614068304,False,-0.0010300874710083008,0.0074999332427978516,-0.0019000768661499023,-0.013660073280334473
EUR/AUD,2014-06-27,0.5313933091852416,False,0.008530020713806152,0.002620100975036621,-0.017369985580444336,-0.019769906997680664
EUR/AUD,2014-07-04,0.6829190368814502,False,-0.005909919738769531,-0.009400010108947754,-0.016199946403503418,-0.046000003814697266
EUR/AUD,2014-07-11,0.6140208046293444,False,-0.0034900903701782227,-0.019990086555480957,-0.007890105247497559,-0.06427001953125
EUR/AUD,2014-07-18,0.7304691431484825,False,-0.016499996185302734,-0.006799936294555664,-0.01175999641418457,-0.025799989700317383
EUR/AUD,2014-07-25,1.0946716705801876,False,0.00970005989074707,0.012099981307983398,-0.002399921417236328,0.008599996566772461
EUR/AUD,2014-08-01,1.3919847392289357,False,0.002399921417236328,-0.004960060119628906,-0.029800057411193848,0.009400010108947754
EUR/AUD,2014-08-08,1.5539375844721397,False,-0.007359981536865234,-0.014499902725219727,-0.05637991428375244,-0.0012999773025512695
EUR/AUD,2014-08-15,1.4226385396105794,False,-0.007139921188354492,-0.02483999729156494,-0.014039993286132812,0.013760089874267578
EUR/AUD,2014-08-22,1.737126979954573,False,-0.01770007610321045,-0.041880011558532715,0.010999917984008789,0.03259992599487305
EUR/AUD,2014-08-29,1.9991619239960308,False,-0.024179935455322266,0.010800004005432129,0.0392000675201416,0.03519999980926514
EUR/AUD,2014-09-05,2.2761839909586428,False,0.034979939460754395,0.052879929542541504,0.05507993698120117,0.04373002052307129
EUR/AUD,2014-09-12,2.039050871557584,False,0.01789999008178711,0.028400063514709473,0.02780008316040039,0.025799989700317383
