pair,bar_time,direction,bucket,ribbon_status,rib_against,rib_strongly_against,hf_conflict,status,gross_pips,net_pips,bars_to_resolve,hours_held,stop_pips
NZD/CHF,2026-09-04 04:00,SELL,clean,LEANING_BEAR,False,False,False,EXPIRED,-8.7,-14.4,3,12.0,20
NZD/CHF,2026-09-04 08:00,BUY,clean,CONVERGING,False,False,False,EXPIRED,5.3,0.0,2,8.0,20
NZD/CHF,2026-09-04 08:00,SELL,clean,CONVERGING,False,False,False,EXPIRED,-5.3,-10.9,2,8.0,20
NZD/CHF,2026-09-04 12:00,BUY,clean,CONVERGING,False,False,False,EXPIRED,-2.6,-7.9,1,4.0,20
NZD/CHF,2026-09-04 12:00,SELL,clean,CONVERGING,False,False,False,EXPIRED,2.6,-2.9,1,4.0,20
CAD/CHF,2024-08-12 00:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-35.0,-37.2,41,164.0,35
CAD/CHF,2024-08-12 00:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-35.0,-40.7,3,12.0,35
CAD/CHF,2024-08-12 04:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-30.0,-35.2,3,12.0,30
CAD/CHF,2024-08-12 04:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-30.0,-37.0,20,80.0,30
CAD/CHF,2024-08-12 08:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-30.0,-35.3,1,4.0,30
CAD/CHF,2024-08-12 08:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-30.0,-36.9,19,76.0,30
CAD/CHF,2024-08-12 12:00,BUY,would_F,NEUTRAL,False,False,True,LOSS,-35.0,-37.4,38,152.0,35
CAD/CHF,2024-08-12 12:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-35.0,-41.8,18,72.0,35
CAD/CHF,2024-08-12 16:00,BUY,clean,NEUTRAL,False,False,False,WIN,60.0,55.9,17,68.0,30
CAD/CHF,2024-08-12 16:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-30.0,-36.7,16,64.0,30
CAD/CHF,2024-08-12 20:00,BUY,clean,NEUTRAL,False,False,False,WIN,60.0,55.8,16,64.0,30
CAD/CHF,2024-08-12 20:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-30.0,-36.6,15,60.0,30
CAD/CHF,2024-08-13 00:00,BUY,clean,NEUTRAL,False,False,False,WIN,60.0,55.8,15,60.0,30
CAD/CHF,2024-08-13 00:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-30.0,-36.6,15,60.0,30
CAD/CHF,2024-08-13 04:00,BUY,would_F,NEUTRAL,False,False,True,LOSS,-30.0,-34.9,7,28.0,30
CAD/CHF,2024-08-13 04:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-30.0,-36.5,14,56.0,30
CAD/CHF,2024-08-13 08:00,BUY,would_F,NEUTRAL,False,False,True,WIN,60.0,55.6,13,52.0,30
CAD/CHF,2024-08-13 08:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-30.0,-36.5,13,52.0,30
CAD/CHF,2024-08-13 12:00,BUY,would_F,NEUTRAL,False,False,True,WIN,60.0,55.5,12,48.0,30
CAD/CHF,2024-08-13 12:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-30.0,-36.4,12,48.0,30
CAD/CHF,2024-08-13 16:00,BUY,would_F,NEUTRAL,False,False,True,WIN,60.0,55.5,11,44.0,30
CAD/CHF,2024-08-13 16:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-30.0,-36.3,11,44.0,30
CAD/CHF,2024-08-13 20:00,BUY,would_F,NEUTRAL,False,False,True,WIN,60.0,55.4,10,40.0,30
CAD/CHF,2024-08-13 20:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-30.0,-36.2,10,40.0,30
CAD/CHF,2024-08-14 00:00,BUY,clean,NEUTRAL,False,False,False,WIN,60.0,55.3,9,36.0,30
CAD/CHF,2024-08-14 00:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-30.0,-36.1,9,36.0,30
CAD/CHF,2024-08-14 04:00,BUY,clean,NEUTRAL,False,False,False,WIN,50.0,45.2,8,32.0,25
CAD/CHF,2024-08-14 04:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-31.0,7,28.0,25
CAD/CHF,2024-08-14 08:00,BUY,clean,NEUTRAL,False,False,False,WIN,50.0,45.1,7,28.0,25
CAD/CHF,2024-08-14 08:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-30.9,6,24.0,25
CAD/CHF,2024-08-14 12:00,BUY,clean,NEUTRAL,False,False,False,WIN,50.0,45.1,6,24.0,25
CAD/CHF,2024-08-14 12:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-30.9,6,24.0,25
CAD/CHF,2024-08-14 16:00,BUY,would_F,NEUTRAL,False,False,True,WIN,50.0,45.0,5,20.0,25
CAD/CHF,2024-08-14 16:00,SELL,would_F,NEUTRAL,False,False,True,LOSS,-25.0,-30.8,5,20.0,25
CAD/CHF,2024-08-14 20:00,BUY,clean,NEUTRAL,False,False,False,WIN,50.0,44.9,4,16.0,25
CAD/CHF,2024-08-14 20:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-30.7,4,16.0,25
CAD/CHF,2024-08-15 00:00,BUY,clean,NEUTRAL,False,False,False,WIN,50.0,44.8,3,12.0,25
CAD/CHF,2024-08-15 00:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-30.7,3,12.0,25
CAD/CHF,2024-08-15 04:00,BUY,clean,NEUTRAL,False,False,False,WIN,50.0,44.7,2,8.0,25
CAD/CHF,2024-08-15 04:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-30.6,2,8.0,25
CAD/CHF,2024-08-15 08:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-25.0,-29.5,12,48.0,25
CAD/CHF,2024-08-15 08:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-25.0,-30.5,1,4.0,25
CAD/CHF,2024-08-15 12:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.1,4,16.0,25
CAD/CHF,2024-08-15 12:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,44.2,5,20.0,25
CAD/CHF,2024-08-15 16:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.1,4,16.0,25
CAD/CHF,2024-08-15 16:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.8,10,40.0,25
CAD/CHF,2024-08-15 20:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.3,2,8.0,25
CAD/CHF,2024-08-15 20:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.9,9,36.0,25
CAD/CHF,2024-08-16 00:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.3,2,8.0,25
CAD/CHF,2024-08-16 00:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.9,8,32.0,25
CAD/CHF,2024-08-16 04:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.3,1,4.0,25
CAD/CHF,2024-08-16 04:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.4,15,60.0,25
CAD/CHF,2024-08-16 08:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-29.3,14,56.0,25
CAD/CHF,2024-08-16 08:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,LOSS,-25.0,-30.5,1,4.0,25
CAD/CHF,2024-08-16 12:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.0,5,20.0,25
CAD/CHF,2024-08-16 12:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.6,13,52.0,25
CAD/CHF,2024-08-16 16:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.1,4,16.0,25
CAD/CHF,2024-08-16 16:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.6,12,48.0,25
CAD/CHF,2024-08-16 20:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.2,3,12.0,25
CAD/CHF,2024-08-16 20:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.6,12,48.0,25
CAD/CHF,2024-08-18 20:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.3,2,8.0,25
CAD/CHF,2024-08-18 20:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.8,10,40.0,25
CAD/CHF,2024-08-19 00:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-30.3,1,4.0,25
CAD/CHF,2024-08-19 00:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.8,10,40.0,25
CAD/CHF,2024-08-19 04:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-25.0,-29.8,8,32.0,25
CAD/CHF,2024-08-19 04:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,50.0,43.9,9,36.0,25
CAD/CHF,2024-08-19 08:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-25.0,-29.9,7,28.0,25
