pair,direction,publication_date,fired_side,fired_type,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,BUY,2013-03-15,base,REVERSING,EUR,-0.010747194290161133,-0.019645094871520996,0.010239124298095703
EUR/USD,SELL,2013-04-19,base,UNWINDING,EUR,-0.004584312438964844,0.0011937618255615234,-0.01698482036590576
EUR/USD,SELL,2013-04-26,base,UNWINDING,EUR,0.005778074264526367,0.002712726593017578,-0.008220911026000977
EUR/USD,SELL,2013-05-03,base,UNWINDING,EUR,-0.003065347671508789,-0.018178582191467285,-0.0021132230758666992
EUR/USD,SELL,2013-06-21,base,REVERSING,EUR,-0.019962668418884277,-0.032784461975097656,-0.01249396800994873
EUR/USD,SELL,2013-06-28,base,REVERSING,EUR,-0.012821793556213379,0.006180763244628906,0.02382791042327881
EUR/USD,BUY,2013-07-12,base,REVERSING,EUR,0.0012879371643066406,0.017647147178649902,0.028232693672180176
EUR/USD,BUY,2013-07-19,base,REVERSING,EUR,0.01635921001434326,0.01013326644897461,0.02433609962463379
EUR/USD,SELL,2013-08-09,base,REVERSING,EUR,-0.002608656883239746,-0.0025017261505126953,-0.026170730590820312
EUR/USD,SELL,2013-08-16,base,REVERSING,EUR,0.00010693073272705078,-0.0117720365524292,-0.0055054426193237305
EUR/USD,SELL,2013-08-23,base,REVERSING,EUR,-0.01187896728515625,-0.023669004440307617,0.01791226863861084
EUR/USD,SELL,2013-10-11,quote,REVERSING,USD,0.014031529426574707,0.02772808074951172,-0.011753559112548828
EUR/USD,BUY,2013-11-01,quote,REVERSING,USD,-0.01706218719482422,-0.01307666301727295,0.00242006778717041
EUR/USD,BUY,2013-11-15,base,UNWINDING,EUR,0.002282857894897461,0.01549673080444336,0.030181288719177246
EUR/USD,BUY,2013-11-22,base,UNWINDING,EUR,0.013213872909545898,0.019815683364868164,0.018396854400634766
EUR/USD,BUY,2013-11-29,base,REVERSING,EUR,0.006601810455322266,0.014684557914733887,0.009222984313964844
EUR/USD,SELL,2013-12-20,base,REVERSING,EUR,0.0040400028228759766,0.0010825395584106445,-0.00377500057220459
EUR/USD,SELL,2013-12-27,quote,REVERSING,USD,-0.002957463264465332,-0.008908271789550781,-0.0007125139236450195
EUR/USD,SELL,2014-01-03,quote,REVERSING,USD,-0.005950808525085449,-0.004857540130615234,-0.010784626007080078
EUR/USD,BUY,2014-01-17,base,UNWINDING,EUR,0.007102489471435547,-0.005927085876464844,0.006072640419006348
EUR/USD,BUY,2014-01-24,base,REVERSING,EUR,-0.01302957534790039,-0.00969386100769043,0.00321197509765625
EUR/USD,BUY,2014-01-31,quote,REVERSING,USD,0.003335714340209961,0.011999726295471191,0.014868497848510742
EUR/USD,BUY,2014-02-07,base,REVERSING,EUR,0.00866401195526123,0.01290583610534668,0.027096033096313477
EUR/USD,SELL,2014-02-28,base,REVERSING,EUR,0.015563249588012695,0.015793919563293457,0.0033905506134033203
EUR/USD,SELL,2014-03-07,base,REVERSING,EUR,0.00023066997528076172,-0.00810098648071289,-0.01392662525177002
